search_term,video_url,title,username,view_num,created_at,collected_at
best ice cream shops,/watch?v=dePIhYVzml4&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,CBS News Sacramento,5K views,4 years ago,2026-01-22 02:01:58.858926
best ice cream shops,/shorts/nZwKjCpFAac,,Motastic,26K views,1 year ago,2026-01-22 02:02:06.195952
best ice cream shops,/shorts/iQEDH2gIRxI,,Makeshift Project,6.4M views,9 months ago,2026-01-22 02:02:06.197158
best ice cream shops,/shorts/JGRHWhgeZpk,,Funny Club TV,54M views,1 year ago,2026-01-22 02:02:06.198323
best ice cream shops,/shorts/QlrS3v_BekY,,twogluttons,25K views,5 months ago,2026-01-22 02:02:06.199280
best ice cream shops,/shorts/ITdvYXgy53Q,,Hungry FAM,52K views,16 hours ago,2026-01-22 02:02:06.200333
best ice cream shops,/shorts/hXkjYkoIJek,,SugarSpiceNice India,228K views,2 years ago,2026-01-22 02:02:06.201539
best ice cream shops,/shorts/wMwTnz7FbJY,,Sam Shan Shops,4.1M views,11 months ago,2026-01-22 02:02:06.202954
best ice cream shops,/shorts/ljIOi46PEJw,,Epic Buzz,13K views,3 months ago,2026-01-22 02:02:06.203800
best ice cream shops,/shorts/4bhRxJa6aYo,,Sarah Betts,5.2M views,7 months ago,2026-01-22 02:02:06.204849
best ice cream shops,/shorts/RitIP-do-WU,,Cohen Thompson,768K views,3 years ago,2026-01-22 02:02:06.205941
best ice cream shops,/shorts/tuU2bsHSK7E,,Koreanosh,5.5M views,1 year ago,2026-01-22 02:02:06.207012
best ice cream shops,/shorts/2ffdS6Lw17g,,Koreanosh,14M views,1 year ago,2026-01-22 02:02:06.208117
best ice cream shops,/shorts/bPu9g6nCj1U,,Beli App,28K views,8 months ago,2026-01-22 02:02:06.209037
best ice cream shops,/shorts/CaJIXzow72I,,moroko,913K views,1 year ago,2026-01-22 02:02:06.210005
best ice cream shops,/shorts/6TxklAKblno,,Nomadette Eats,8.7M views,1 year ago,2026-01-22 02:02:06.211047
best ice cream shops,/shorts/kvCFkSvsMMs,,Ninja Kitchen,923K views,11 months ago,2026-01-22 02:02:06.212144
best ice cream shops,/shorts/3DEz1MhvVxs,,magnify,1.5M views,3 months ago,2026-01-22 02:02:06.213117
best ice cream shops,/shorts/8E2DGCQbWKk,,Nick DiGiovanni,26M views,1 year ago,2026-01-22 02:02:06.214089
best ice cream shops,/shorts/Mfi4itZYIk4,,Godfrey Twins,10M views,8 months ago,2026-01-22 02:02:06.214976
best ice cream shops,/shorts/A-JKaZMXzwg,,Koreanosh,1.7M views,9 months ago,2026-01-22 02:02:06.216010
