search_term,video_url,title,username,view_num,created_at,collected_at
ice cream business,/shorts/-0NS6T1lYZ4,,Digital CEO,63K views,3 months ago,2026-01-22 02:02:27.610210
ice cream business,/shorts/Go02n1xJaMw,,Rathish Menon Business Atelier,3.4K views,4 months ago,2026-01-22 02:02:27.610751
ice cream business,/shorts/vxc5ltF1FXs,,Chefs Shop,174K views,1 year ago,2026-01-22 02:02:27.611280
ice cream business,/watch?v=PV2tVhb-j1I&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz0gcJCYcKAYcqIYzv,,Scoop School,18K views,4 years ago,2026-01-22 02:02:32.778515
ice cream business,/watch?v=rWCi47vZAk0&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Toys Make Me Smile,596M views,7 years ago,2026-01-22 02:02:32.779069
ice cream business,/watch?v=ssgqxgGZglI&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,FOX 13 Tampa Bay,3K views,3 years ago,2026-01-22 02:02:32.779606
ice cream business,/watch?v=obb4NHraKaE&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,GrowthX,193K views,9 months ago,2026-01-22 02:02:32.780288
ice cream business,/shorts/4RrTXDDTkHs,,Sekora and Sefari Play,7.3M views,2 years ago,2026-01-22 02:02:32.780909
ice cream business,/shorts/1ZBW8hvtbY0,,DOLPHIN APPLIANCES  SERVICE N INSTALLATION,386K views,3 years ago,2026-01-22 02:02:39.243009
ice cream business,/shorts/hW7s0jPMjOo,,Sujal Thakral,116M views,3 months ago,2026-01-22 02:02:39.243910
ice cream business,/shorts/SD9dbTqi6lU,,King’s Food Z by Aditya Baisla,10M views,8 months ago,2026-01-22 02:02:39.245169
ice cream business,/shorts/AgPz7Do8rQI,,Mary Sanden,434K views,1 year ago,2026-01-22 02:02:39.245986
ice cream business,/shorts/lIrNiH4vW2s,,Learn with Owner.com,17K views,8 months ago,2026-01-22 02:02:39.246891
ice cream business,/shorts/Ztua8NZpZfA,,Varizz,159K views,8 months ago,2026-01-22 02:02:39.247778
ice cream business,/shorts/IhrQ_9bsbQA,,Chefs Shop,50K views,11 months ago,2026-01-22 02:02:39.248713
ice cream business,/shorts/AWjIaTDYUug,,Cash&Curiosity,5K views,3 months ago,2026-01-22 02:02:39.249633
ice cream business,/shorts/TR5k4HPXT0o,,Softy Ice Cream Machine,94K views,8 months ago,2026-01-22 02:02:39.250534
ice cream business,/shorts/MNdi2AnI5ZM,,Penguin Engineering,311K views,10 months ago,2026-01-22 02:02:39.251574
ice cream business,/shorts/nLvAtSjVx1Y,,Bhimboys Cold Foods,1.3K views,7 months ago,2026-01-22 02:02:39.252533
ice cream business,/shorts/5EboX0ywgnI,,Nikko Montanez,163K views,4 months ago,2026-01-22 02:02:39.253446
ice cream business,/shorts/q8rzvirJ3-Y,,Azimuth Business On Wheels,11K views,3 months ago,2026-01-22 02:02:39.254381
